# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.97	0.102116 -0.0209597 0.227367 0.442036 0.492931 -0.42083 -0.620101	
0.98	0.101967 -0.0209033 0.227229 0.442083 0.492965 -0.420646 -0.620166	
0.99	0.101859 -0.0208095 0.227385 0.442015 0.493364 -0.42104 -0.619629	
1	0.101859 -0.0208095 0.227385 0.442015 0.493364 -0.42104 -0.619629	
1.01	0.10175 -0.0207157 0.22754 0.44258 0.493015 -0.420644 -0.619772	
1.02	0.10175 -0.0207157 0.22754 0.442829 0.493387 -0.420617 -0.619317	
1.03	0.101642 -0.0206217 0.227695 0.443392 0.493039 -0.420221 -0.61946	
1.04	0.101642 -0.0206217 0.227695 0.444081 0.493223 -0.419784 -0.619116	
1.05	0.101642 -0.0206217 0.227695 0.444081 0.493223 -0.419784 -0.619116	
1.06	0.101534 -0.0205277 0.227851 0.44408 0.492966 -0.420602 -0.618766	
1.07	0.101534 -0.0205277 0.227851 0.442636 0.493253 -0.421051 -0.619266	
1.08	0.101425 -0.0204337 0.228006 0.442319 0.49328 -0.421473 -0.619185	
1.09	0.101425 -0.0204337 0.228006 0.44251 0.492721 -0.421091 -0.619753	
1.1	0.101425 -0.0204337 0.228006 0.443074 0.492809 -0.42146 -0.619028	
1.11	0.101425 -0.0204337 0.228006 0.442951 0.492533 -0.420683 -0.619865	
1.12	0.101466 -0.0203959 0.228299 0.443782 0.491867 -0.420868 -0.619673	
1.13	0.101567 -0.02041 0.228666 0.444176 0.491206 -0.419879 -0.620585	
1.14	0.101715 -0.0204662 0.228803 0.444194 0.490515 -0.420488 -0.620706	
1.15	0.101952 -0.0205265 0.229005 0.444475 0.490916 -0.420024 -0.620502	
1.16	0.10225 -0.0206384 0.22928 0.444629 0.491223 -0.420365 -0.619918	
1.17	0.102459 -0.0207461 0.229491 0.445022 0.491001 -0.42014 -0.619964	
1.18	0.102757 -0.0208575 0.229766 0.445175 0.491308 -0.420481 -0.61938	
1.19	0.103143 -0.0209726 0.230105 0.445788 0.490735 -0.42102 -0.619027	
1.2	0.103503 -0.0211349 0.230454 0.44582 0.490766 -0.420584 -0.619276	
1.21	0.103889 -0.021249 0.230792 0.446364 0.490853 -0.420698 -0.618737	
1.22	0.104296 -0.0214532 0.230912 0.445952 0.49151 -0.421433 -0.618012	
1.23	0.104594 -0.0215629 0.231187 0.446416 0.491533 -0.422167 -0.617157	
1.24	0.105063 -0.0218177 0.23138 0.446569 0.492102 -0.421687 -0.616922	
1.25	0.10545 -0.0219301 0.231718 0.44674 0.491717 -0.422634 -0.616456	
1.26	0.105919 -0.0221838 0.231911 0.446082 0.491998 -0.423398 -0.616184	
1.27	0.106219 -0.0222922 0.232186 0.44623 0.492306 -0.423735 -0.615598	
1.28	0.106627 -0.0224941 0.232305 0.4455 0.493246 -0.424076 -0.615141	
1.29	0.106973 -0.0226448 0.23235 0.445084 0.493899 -0.424809 -0.614412	
1.3	0.107123 -0.0226986 0.232488 0.444838 0.494423 -0.425372 -0.613778	
1.31	0.107273 -0.0227523 0.232625 0.444664 0.494289 -0.426358 -0.613328	
1.32	0.107335 -0.0228031 0.232699 0.44415 0.495129 -0.426346 -0.613031	
1.33	0.107593 -0.0229505 0.232681 0.44442 0.495075 -0.426105 -0.613047	
1.34	0.107681 -0.0229533 0.232744 0.444813 0.494859 -0.425879 -0.613094	
1.35	0.107681 -0.0229533 0.232744 0.445812 0.494766 -0.425829 -0.612477	
1.36	0.107573 -0.0228596 0.232899 0.446177 0.494978 -0.425812 -0.612051	
1.37	0.107635 -0.0229103 0.232973 0.446543 0.495455 -0.424978 -0.611978	
1.38	0.107635 -0.0229103 0.232973 0.446983 0.495273 -0.424567 -0.61209	
1.39	0.107723 -0.0229131 0.233036 0.447132 0.494683 -0.424371 -0.612593	
1.4	0.107785 -0.0229638 0.23311 0.44813 0.494589 -0.424318 -0.611977	
1.41	0.107873 -0.0229665 0.233173 0.448521 0.494373 -0.42409 -0.612023	
1.42	0.107935 -0.0230171 0.233247 0.448884 0.494852 -0.423254 -0.611948	
1.43	0.108086 -0.0230705 0.233384 0.448836 0.49482 -0.423438 -0.611882	
1.44	0.108174 -0.0230731 0.233447 0.449104 0.4945 -0.424013 -0.611546	
1.45	0.108236 -0.0231237 0.233521 0.449344 0.494875 -0.423979 -0.611089	
