275.389282,356.153534,0.000048;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.632996,367.043335,0.000000;654.635803,356.154266,0.237381;724.130554,351.939545,0.000793;838.186401,355.865204,0.095584;891.141968,366.258270,0.054258;273.530029,442.602264,0.024286;341.227997,450.690887,0.000000;445.059235,445.110260,0.092617;559.295288,444.064270,0.143310;630.996643,440.448212,0.026252;744.974854,440.639496,0.061487;842.552979,453.198608,0.092208;895.878845,412.003815,0.028346;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.110226;547.906555,538.370483,0.083229;639.396240,553.044250,0.095252;730.967224,544.908447,0.076873;823.169739,493.375275,0.222715;899.806458,513.451660,0.039080|549.130188,306.449799,0.150343;623.323059,304.951324,0.294542;538.810791,340.562073,0.000000;622.987732,351.833832,0.260961
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.626648,366.974365,0.390767;654.643860,356.182709,0.438709;724.130554,351.939545,0.001177;838.186401,355.865173,0.009151;891.143982,366.257965,0.093189;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.055389,445.102234,0.209755;559.296936,444.037109,0.393523;631.005127,440.421661,0.279340;744.981567,440.625244,0.205081;842.551819,453.198792,0.061887;895.878845,412.003754,0.007265;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.000000;547.903198,538.342773,0.485338;639.398865,552.982971,0.199186;730.968140,544.849548,0.341207;823.169739,493.375275,0.000000;899.806335,513.451782,0.018819|549.145081,306.400726,0.304242;623.317200,304.945160,0.462118;538.819824,340.519104,0.328035;622.976990,351.915100,0.489283
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.626648,366.974365,0.000000;654.635620,356.154205,0.439847;724.130554,351.939545,0.001177;838.186401,355.865234,0.009900;891.143860,366.258392,0.028715;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.055389,445.102234,0.000000;559.296936,444.037109,0.000000;631.005005,440.421570,0.017890;744.981384,440.624939,0.019416;842.553040,453.198608,0.062352;895.878845,412.003815,0.007265;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.000000;547.903198,538.342773,0.000000;639.398865,552.982971,0.000000;730.968140,544.849548,0.000000;823.169739,493.375275,0.000000;899.806458,513.451660,0.018819|549.145081,306.400757,0.003797;623.316711,304.949341,0.320017;538.819824,340.519104,0.000000;622.987610,351.835236,0.485939
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.623596,366.918640,0.331471;654.635620,356.154205,0.000000;724.130554,351.939545,0.000000;838.186401,355.865234,0.000000;891.145386,366.259125,0.052480;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.052643,445.094757,0.158957;559.297363,444.007294,0.473119;631.013184,440.396027,0.245851;744.986328,440.613464,0.135156;842.553040,453.198608,0.000000;895.878845,412.003815,0.000000;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.000000;547.900391,538.316040,0.404308;639.399414,552.922424,0.259816;730.968567,544.791138,0.331731;823.169739,493.375275,0.000000;899.806458,513.451660,0.000000|549.154236,306.357788,0.189046;623.315186,304.948608,0.166927;538.824524,340.485565,0.185429;622.987610,351.835236,0.000000
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.620239,366.860107,0.265367;654.635620,356.154205,0.000000;724.130554,351.939545,0.000000;838.186401,355.865234,0.000000;891.147095,366.259521,0.044154;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.048859,445.086548,0.175730;559.300110,443.987885,0.340286;631.016968,440.371796,0.204721;744.992249,440.600861,0.154712;842.553040,453.198608,0.000000;895.878845,412.003815,0.000000;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.000000;547.897095,538.289185,0.412065;639.398865,552.983093,0.259928;730.968140,544.849670,0.331803;823.169739,493.375275,0.000000;899.806458,513.451660,0.000000|549.166077,306.309021,0.212358;623.315125,304.948608,0.006948;538.831604,340.446960,0.207292;622.987610,351.835236,0.000000
275.389282,356.153534,0.000000;341.572815,350.614410,0.000000;444.516602,351.904083,0.000000;538.615784,366.807098,0.378332;654.635620,356.154205,0.000000;724.130554,351.939545,0.000000;838.186401,355.865234,0.000000;891.147949,366.260101,0.052039;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.047150,445.080322,0.176951;559.302307,443.968018,0.501602;631.019165,440.348907,0.202694;744.996216,440.591187,0.119277;842.553040,453.198608,0.000000;895.878845,412.003815,0.000000;276.490662,501.906799,0.000000;338.613129,502.782227,0.000000;444.069366,540.857971,0.000000;547.893921,538.262512,0.465498;639.396301,553.044373,0.199431;730.967163,544.908691,0.341659;823.169739,493.375275,0.000000;899.806458,513.451660,0.000000|549.171753,306.265564,0.298511;623.315430,304.948822,0.012884;538.833923,340.413727,0.268478;622.987610,351.835236,0.000000
275.363861,356.154480,0.669778;341.537079,350.610535,0.518919;444.487549,351.816376,1.024526;538.593384,366.881653,0.987345;654.629517,356.057220,0.866514;724.132324,351.817200,1.038495;838.186523,355.865295,0.010589;891.148193,366.250397,0.161296;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.057526,444.988770,0.795519;559.294861,443.932922,1.450364;630.994385,440.331787,0.709238;744.978394,440.553345,0.866742;842.553040,453.198608,0.000000;895.878845,412.003815,0.000000;276.490540,501.906799,0.023008;338.612885,502.781982,0.028174;444.070160,540.742371,0.513324;547.904480,538.234497,1.610006;639.400513,552.918579,0.412021;730.967407,544.810913,0.855592;823.169861,493.375427,0.022107;899.806580,513.451538,0.012555|549.141296,306.338043,0.529356;623.269531,304.930725,0.466415;538.764709,340.412964,0.916847;622.959839,351.760651,0.808567
275.360779,356.147583,0.199414;341.502655,350.606781,0.286733;444.487549,351.816376,0.000000;538.585815,366.768585,0.478097;654.621460,355.935547,0.604287;724.135254,351.807831,0.215903;838.186523,355.865295,0.000000;891.147217,366.240356,0.129602;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.047211,445.018799,0.552824;559.292175,443.882355,0.851099;630.982056,440.271210,0.386538;744.978516,440.553223,0.031498;842.552979,453.198669,0.011498;895.878845,412.003815,0.000000;276.490662,501.906799,0.023008;338.613007,502.782410,0.020128;444.070160,540.742371,0.000000;547.898743,538.191711,0.806937;639.400940,552.916992,0.063930;730.966858,544.836243,0.255739;823.169556,493.375275,0.019480;899.806580,513.451538,0.000000|549.048828,306.194153,0.701673;623.136536,304.825592,0.699314;538.772583,340.339020,0.433075;622.940491,351.711761,0.445970
275.360779,356.147583,0.000553;341.502655,350.606781,0.000000;444.487549,351.816376,0.000000;538.585754,366.768524,0.000957;654.621460,355.935547,0.000000;724.135254,351.807831,0.000000;838.186462,355.865204,0.004834;891.146790,366.240845,0.020729;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.052765,444.975128,0.342765;559.292175,443.882355,0.000000;630.982056,440.271210,0.000000;744.978516,440.553223,0.000000;842.553040,453.198608,0.011498;895.878845,412.003815,0.000000;276.490662,501.906799,0.000000;338.613068,502.782227,0.016672;444.070160,540.742371,0.000000;547.898743,538.191711,0.000000;639.400940,552.916992,0.000000;730.966858,544.836243,0.000000;823.169922,493.375336,0.022343;899.806519,513.452148,0.008266|549.048828,306.194153,0.000449;623.138672,304.726807,0.371928;538.772583,340.339020,0.000000;622.940491,351.711761,0.000000
275.341248,356.143219,0.425177;341.467499,350.603333,0.444444;444.487549,351.816376,0.000000;538.585327,366.768799,0.074098;654.624084,355.928314,0.129413;724.135193,351.807892,0.007145;838.186462,355.865204,0.000000;891.146729,366.240814,0.001474;273.530029,442.602264,0.000000;341.227997,450.690887,0.000000;445.044617,445.009979,0.434108;559.289490,443.854218,0.414540;630.988037,440.247620,0.223672;744.983887,440.542480,0.262768;842.553040,453.198517,0.009856;895.878845,412.003784,0.005783;276.490662,501.906799,0.000000;338.613007,502.782410,0.016672;444.074860,540.704590,0.311543;547.901428,538.153931,0.532031;639.403564,552.857483,0.223844;730.965454,544.796570,0.591271;823.169678,493.375275,0.022511;899.806580,513.452942,0.010733|549.048828,306.194153,0.000000;623.110474,304.718048,0.216908;538.772583,340.339020,0.000000;622.940857,351.672363,0.283769
