266.678650,349.642212,0.000000;329.347778,349.154602,0.200864;441.502014,349.527039,0.017237;506.692810,337.081482,0.171388;656.773682,326.996735,0.303337;724.991455,378.606812,0.000000;811.003357,356.437988,0.001514;252.910156,459.479462,0.006087;324.309479,429.304230,0.015054;436.752655,449.700043,0.009464;505.158112,449.992401,0.186607;644.230713,440.264282,0.008194;715.505859,443.106781,0.006043;806.518494,414.279266,0.198549;240.932831,499.419617,0.008923;349.848511,511.900177,0.020641;461.200348,552.393982,0.022463;540.234558,527.640137,0.000000;689.526123,527.943359,0.024225;727.308228,517.339722,0.022015;440.584625,594.488403,0.005715|546.800659,285.923462,0.324074;605.707886,348.022247,0.116658;524.473511,345.036560,0.122120
266.678650,349.642212,0.000000;329.352417,349.155365,0.322448;441.501953,349.526886,0.015375;506.683441,337.081329,0.172310;656.749390,326.993011,0.369441;724.991455,378.606812,0.000000;811.003296,356.437927,0.028543;252.910156,459.479645,0.083526;324.309296,429.304047,0.038371;436.752502,449.699768,0.011490;505.145538,449.991669,0.233712;644.230774,440.264587,0.027878;715.506104,443.106995,0.011318;806.514038,414.293304,0.206319;240.932877,499.419739,0.038419;349.848633,511.897156,0.192302;461.200348,552.394226,0.021146;540.234558,527.640137,0.000000;689.526184,527.943359,0.025815;727.308228,517.340088,0.016444;440.584747,594.488464,0.007673|546.753784,285.932556,0.420263;605.689819,348.030365,0.213432;524.464966,345.035431,0.138909
266.669708,349.642120,0.227657;329.352417,349.155365,0.000000;441.468018,349.529846,0.347915;506.649109,337.081848,0.450660;656.724365,326.995178,0.315936;724.942932,378.604156,0.782447;810.933838,356.440247,0.754129;252.857224,459.498260,0.860198;324.276337,429.305450,0.449959;436.711761,449.706635,0.844403;505.100677,449.999786,0.711481;644.180908,440.261719,0.342428;715.457642,443.059418,0.755190;806.487854,414.291992,0.552276;240.871750,499.444153,0.870142;349.787476,511.897369,0.362429;461.138428,552.409363,0.429474;540.191345,527.637207,0.787257;689.483215,527.914551,0.643675;727.266052,517.303833,0.462574;440.550293,594.491577,0.321795|546.857483,285.913971,0.625000;605.650574,348.015717,0.506989;524.430542,345.040680,0.294274
266.650208,349.646118,0.381091;329.325623,349.165131,0.470396;441.435211,349.532867,0.282724;506.606354,337.083252,0.368604;656.697144,326.998566,0.269508;724.933960,378.611420,0.310385;810.871033,356.442261,0.701789;252.849854,459.507935,0.255943;324.248169,429.305054,0.314723;436.672180,449.714111,0.489363;505.066895,450.009583,0.508130;644.128662,440.257538,0.253809;715.402222,443.003326,0.492283;806.461060,414.294067,0.378713;240.848831,499.451782,0.467272;349.733490,511.895874,0.306857;461.074493,552.422668,0.377683;540.146118,527.634949,0.707612;689.441589,527.889343,0.433023;727.217651,517.268860,0.499852;440.516449,594.494934,0.201233|546.746704,285.932861,0.635100;605.617676,348.002594,0.395201;524.390015,345.045624,0.237605
266.628235,349.647888,0.338644;329.301178,349.172211,0.301643;441.435211,349.532867,0.000000;506.606354,337.083252,0.000000;656.696411,326.998535,0.028090;724.892090,378.602905,0.499976;810.869385,356.440979,0.106902;252.809082,459.517242,0.643615;324.237274,429.306976,0.215354;436.672180,449.714111,0.000000;505.051208,450.004059,0.369605;644.128662,440.257538,0.000000;715.402222,443.003326,0.000000;806.459900,414.294556,0.037498;240.812195,499.470215,0.525443;349.733490,511.895874,0.000000;461.074493,552.422668,0.000000;540.146118,527.634949,0.000000;689.441589,527.889343,0.000000;727.217651,517.268860,0.000000;440.516449,594.494934,0.000000|546.746704,285.932861,0.000000;605.617676,348.002594,0.000000;524.390015,345.045624,0.000000
266.606781,349.651581,0.266292;329.275269,349.180298,0.322144;441.401031,349.535492,0.240356;506.578552,337.082855,0.265463;656.655884,326.998474,0.485506;724.838196,378.597198,0.595624;810.809998,356.442200,0.504433;252.761932,459.535156,0.585312;324.203918,429.308563,0.292404;436.632202,449.721680,0.588067;505.015778,450.014557,0.573746;644.073364,440.253906,0.297117;715.347656,442.949097,0.670876;806.434021,414.294800,0.331619;240.758011,499.494751,0.536496;349.678986,511.895477,0.200123;461.004700,552.440002,0.485298;540.099670,527.632751,0.790509;689.397034,527.859558,0.503544;727.170349,517.229797,0.495234;440.483307,594.497437,0.190343|546.727234,285.919891,0.525083;605.584595,347.989410,0.232823;524.352173,345.050049,0.194360
266.584106,349.652222,0.484910;329.250214,349.187775,0.406711;441.367004,349.538666,0.448626;506.546234,337.082886,0.430331;656.619141,326.999512,0.459731;724.786987,378.591431,0.660619;810.755371,356.441254,0.653999;252.720016,459.551758,0.700496;324.171844,429.310333,0.422342;436.594757,449.728119,0.593950;504.979401,450.024078,0.598560;644.015259,440.249176,0.448205;715.289856,442.892578,0.633306;806.406067,414.299164,0.609930;240.708603,499.517700,0.676326;349.628906,511.892883,0.435013;460.936676,552.454346,0.548715;540.051392,527.630432,0.944497;689.354004,527.833557,0.628096;727.120117,517.193054,0.772231;440.448273,594.502686,0.435862|546.708435,285.907898,0.430956;605.554016,347.972961,0.592753;524.305786,345.054504,0.339645
266.584106,349.652222,0.000000;329.248566,349.189331,0.046577;441.364227,349.540710,0.062380;506.550385,337.117096,0.427876;656.619080,326.999481,0.009880;724.786987,378.591431,0.000000;810.755371,356.441254,0.000000;252.742096,459.537720,0.878913;324.149750,429.307251,0.321499;436.607025,449.727264,0.380967;504.994080,450.027557,0.305640;644.034668,440.247803,0.223055;715.290222,442.905670,0.414732;806.406067,414.299164,0.000000;240.748062,499.500153,0.876722;349.631195,511.894409,0.084463;460.970276,552.446960,0.448469;540.073486,527.631226,0.634972;689.374390,527.845337,0.524734;727.140137,517.247925,0.694340;440.473053,594.496338,0.413851|546.708435,285.907898,0.000000;605.554016,347.972961,0.000000;524.310303,345.083527,0.218770
266.584106,349.652222,0.000000;329.248566,349.189331,0.000000;441.361481,349.542603,0.062732;506.552063,337.150085,0.390122;656.619568,326.999542,0.042191;724.787415,378.591705,0.034979;810.755371,356.441254,0.000000;252.766312,459.522797,0.734257;324.149719,429.307190,0.007533;436.618103,449.723999,0.216367;505.007324,450.030945,0.191661;644.053589,440.247101,0.169382;715.289612,442.922760,0.277786;806.406067,414.299164,0.000000;240.789093,499.478180,0.781058;349.633209,511.895844,0.107403;461.004700,552.439697,0.208994;540.094910,527.632080,0.463536;689.397095,527.865723,0.226868;727.143250,517.290649,0.310798;440.484955,594.492798,0.144888|546.708435,285.907898,0.000000;605.554016,347.972961,0.000000;524.314087,345.112305,0.215086
266.584106,349.652222,0.000000;329.247162,349.190613,0.028863;441.361603,349.542633,0.012848;506.549835,337.151398,0.070930;656.619141,326.999512,0.033653;724.786987,378.591431,0.034979;810.755371,356.441254,0.000000;252.766647,459.523346,0.157323;324.129608,429.304443,0.261530;436.618103,449.723999,0.000000;505.007324,450.030945,0.000000;644.054077,440.247742,0.027053;715.289612,442.922760,0.000000;806.406067,414.299164,0.000000;240.791061,499.483612,0.109357;349.633209,511.895844,0.000000;461.004974,552.439758,0.014105;540.094910,527.632080,0.000000;689.397217,527.858521,0.083510;727.161682,517.306824,0.212518;440.495483,594.494202,0.097242|546.708435,285.907898,0.000000;605.554016,347.972961,0.000000;524.312256,345.115692,0.067294
266.584106,349.652222,0.000000;329.246002,349.191711,0.025511;441.358643,349.544678,0.057726;506.551819,337.184906,0.341860;656.619080,326.999542,0.006019;724.786987,378.591431,0.000000;810.755371,356.441254,0.000000;252.766296,459.523529,0.160223;324.106812,429.301208,0.288295;436.606995,449.727264,0.216611;504.994049,450.027527,0.191997;644.034485,440.247833,0.186675;715.270264,442.927704,0.330302;806.406067,414.299164,0.000000;240.791061,499.483826,0.012900;349.635193,511.897491,0.067694;460.970367,552.446960,0.198782;540.073181,527.630798,0.409466;689.374512,527.844177,0.232511;727.131470,517.322693,0.264021;440.473083,594.496338,0.115504|546.708435,285.907898,0.000000;605.554016,347.972961,0.000000;524.315308,345.143829,0.180483
266.584106,349.652222,0.000000;329.244354,349.193085,0.037381;441.355957,349.546448,0.050850;506.551086,337.217590,0.360687;656.619141,326.999512,0.005527;724.786987,378.591431,0.000000;810.755371,356.441254,0.000000;252.767166,459.524109,0.192142;324.085480,429.298065,0.302440;436.594696,449.728119,0.380895;504.979309,450.024017,0.305912;644.015320,440.249481,0.205898;715.250244,442.935760,0.341956;806.406067,414.299164,0.000000;240.791000,499.483917,0.014662;349.638245,511.900146,0.188085;460.936859,552.454224,0.448213;540.051086,527.630371,0.577935;689.354309,527.832153,0.510152;727.098633,517.343262,0.670784;440.448273,594.502686,0.413851|546.708435,285.907898,0.000000;605.554016,347.972961,0.000000;524.315552,345.171967,0.206667
